ko:K01212	bsy:I653_16755
ko:K03595	bsy:I653_12160
ko:K14274	bsy:I653_16060
ko:K22132	bsy:I653_13095
ko:K22109	bsy:I653_14920
ko:K01932	bsy:I653_17525
ko:K22116	bsy:I653_17520
ko:K22230	bsy:I653_14970
ko:K22187	bsy:I653_01205
ko:K03547	bsy:I653_04985
ko:K22278	bsy:I653_06170
ko:K03077	bsy:I653_13745
ko:K22301	bsy:I653_16360
ko:K22299	bsy:I653_16310
ko:K02257	bsy:I653_06160
ko:K02257	bsy:I653_07645
ko:K22299	bsy:I653_16305
ko:K22301	bsy:I653_16385
ko:K03574	bsy:I653_02210
ko:K09988	bsy:I653_02145
ko:K13566	bsy:I653_06965
ko:K18672	bsy:I653_10055
ko:K22441	bsy:I653_15490
ko:K22579	bsy:I653_09800
