ko:K07492	bsuv:BSPT2_II0508
ko:K14237	bsuv:BSPT2_I0737
ko:K14230	bsuv:BSPT2_II1296
ko:K14230	bsuv:BSPT2_II1074
ko:K20539	bsuv:BSPT2_II1081
ko:K03200	bsuv:BSPT2_II0032
ko:K03198	bsuv:BSPT2_II0034
ko:K03197	bsuv:BSPT2_II0035
ko:K03296	bsuv:BSPT2_I0296
ko:K03199	bsuv:BSPT2_II0033
ko:K03195	bsuv:BSPT2_II0028
ko:K11529	bsuv:BSPT2_I1339
ko:K14225	bsuv:BSPT2_I0734
ko:K16011	bsuv:BSPT2_II0305
ko:K21054	bsuv:BSPT2_II0807
ko:K21062	bsuv:BSPT2_II0205
ko:K21137	bsuv:BSPT2_II0860
ko:K07497	bsuv:BSPT2_I1183
ko:K00821	bsuv:BSPT2_I0320
ko:K21136	bsuv:BSPT2_II0861
ko:K13609	bsuv:BSPT2_II0206
ko:K21134	bsuv:BSPT2_II0859
ko:K01520	bsuv:BSPT2_II1113
ko:K02314	bsuv:BSPT2_I1249
ko:K01286	bsuv:BSPT2_I0627
ko:K00287	bsuv:BSPT2_I1413
ko:K00560	bsuv:BSPT2_I1414
ko:K02316	bsuv:BSPT2_I1496
ko:K03676	bsuv:BSPT2_I1678
ko:K06952	bsuv:BSPT2_I1040
ko:K09882	bsuv:BSPT2_I1822
ko:K01286	bsuv:BSPT2_I1835
ko:K06217	bsuv:BSPT2_I1954
ko:K06904	bsuv:BSPT2_I1117
ko:K03553	bsuv:BSPT2_I0496
ko:K01286	bsuv:BSPT2_I0528
ko:K06191	bsuv:BSPT2_II0276
ko:K00108	bsuv:BSPT2_I1656
ko:K02483	bsuv:BSPT2_I1099
ko:K01740	bsuv:BSPT2_I0910
ko:K01738	bsuv:BSPT2_I0910
ko:K01802	bsuv:BSPT2_I0603
ko:K09017	bsuv:BSPT2_I0299
ko:K09806	bsuv:BSPT2_I1542
ko:K01139	bsuv:BSPT2_I1053
ko:K02335	bsuv:BSPT2_I0121
ko:K00015	bsuv:BSPT2_I1977
ko:K07497	bsuv:BSPT2_I0974
ko:K02483	bsuv:BSPT2_II0194
ko:K21420	bsuv:BSPT2_I0950
ko:K21470	bsuv:BSPT2_I0943
ko:K21470	bsuv:BSPT2_I0738
ko:K01420	bsuv:BSPT2_I1051
ko:K21603	bsuv:BSPT2_II1322
ko:K21564	bsuv:BSPT2_II0246
ko:K21697	bsuv:BSPT2_II0087
ko:K21564	bsuv:BSPT2_II0225
ko:K21832	bsuv:BSPT2_I1478
ko:K19591	bsuv:BSPT2_I0220
ko:K21910	bsuv:BSPT2_II0812
ko:K21948	bsuv:BSPT2_II0111
ko:K21929	bsuv:BSPT2_I1057
ko:K21929	bsuv:BSPT2_I1082
ko:K05802	bsuv:BSPT2_I0374
ko:K22025	bsuv:BSPT2_II0108
ko:K22131	bsuv:BSPT2_II0110
ko:K22130	bsuv:BSPT2_II0107
ko:K08319	bsuv:BSPT2_II0112
ko:K03595	bsuv:BSPT2_I1043
ko:K00304	bsuv:BSPT2_I0228
ko:K00302	bsuv:BSPT2_I0229
ko:K00302	bsuv:BSPT2_I0230
ko:K22187	bsuv:BSPT2_I0208
ko:K22310	bsuv:BSPT2_I0147
ko:K11991	bsuv:BSPT2_II0165
ko:K02257	bsuv:BSPT2_I1232
ko:K11206	bsuv:BSPT2_I1677
ko:K00424	bsuv:BSPT2_II0470
ko:K22548	bsuv:BSPT2_I0357
